ANLAGE;VKONTO;COORX;COORY
G45116227;000005633474;-36.7040728;-72.9709141
G45116003;000001947042;-36.7054826;-72.9732628
100728377;000005565787;-36.6662552;-72.9603243
100701311;000005523563;-36.6638918;-72.9594799
100968043;000005769674;-36.7103268;-72.9662828
100968044;000005769714;-36.710109;-72.9676375
100968046;000005769716;-36.7101292;-72.9675476
100968047;000005769717;-36.7101412;-72.9675114
100968048;000005769718;-36.7101355;-72.9673568
100968051;000005769721;-36.7101194;-72.9673838
100968054;000005769724;-36.7101782;-72.9670645
100968055;000005769725;-36.7101674;-72.9670576
100968059;000005769728;-36.710232;-72.966814
100968064;000005769734;-36.7103205;-72.9664688
100968067;000005769738;-36.710295;-72.9663629
100968068;000005769739;-36.7102712;-72.9662786
100968069;000005769740;-36.710319;-72.9662395
100968070;000005769741;-36.7103084;-72.9661863
100968071;000005769742;-36.7103428;-72.9659287
100968072;000005769744;-36.7103441;-72.9659289
100968075;000005769747;-36.7103561;-72.9659177
100968076;000005769748;-36.7103601;-72.9659261
100968077;000005769749;-36.7103708;-72.9656336
100968078;000005769750;-36.7103678;-72.965631
100968079;000005769751;-36.7103788;-72.9656173
100968080;000005769752;-36.7104148;-72.9655999
100968082;000005769755;-36.7104095;-72.9653667
100968083;000005769756;-36.7104091;-72.9653662
100968084;000005769757;-36.7104096;-72.9653712
100968087;000005769760;-36.7104373;-72.9650929
100968091;000005769764;-36.7104396;-72.9648146
100968095;000005769767;-36.7104119;-72.964607
100968098;000005769770;-36.710366;-72.9644289
100968099;000005769771;-36.7103804;-72.9644273
100968102;000005769774;-36.7102521;-72.9641265
100968106;000005769778;-36.7102091;-72.9639176
100968107;000005769779;-36.7101698;-72.9638836
100968108;000005769780;-36.710136;-72.963865
100968111;000005769783;-36.7101947;-72.9680259
100968112;000005769784;-36.7101721;-72.9679744
100968113;000005769785;-36.710184;-72.9680017
100968114;000005769786;-36.7101553;-72.9679378
100968117;000005769789;-36.7100648;-72.9677774
100968118;000005769790;-36.7101407;-72.9675939
100968119;000005769791;-36.7101443;-72.9675804
100968123;000005769795;-36.7101819;-72.9674224
100968125;000005769798;-36.7101965;-72.9673683
100968126;000005769799;-36.7101805;-72.9670504
100968129;000005769802;-36.710209;-72.9668876
100968130;000005769803;-36.7102695;-72.9668397
100968132;000005769805;-36.7103118;-72.9667632
100968133;000005769806;-36.7102961;-72.9666539
100968136;000005769809;-36.7103389;-72.9664383
100968138;000005772012;-36.7104912;-72.9662969
100968139;000005772011;-36.7104928;-72.9663596
100968140;000005772010;-36.7105112;-72.9663825
100968142;000005772008;-36.7103656;-72.9659174
100968143;000005772007;-36.7103582;-72.9658817
100968145;000005772005;-36.7103723;-72.9658866
100968149;000005772001;-36.7103614;-72.9655898
100968150;000005772000;-36.7103617;-72.9655997
100968152;000005771999;-36.7104304;-72.9653942
100968153;000005771997;-36.7104121;-72.9653855
100968154;000005771996;-36.7104559;-72.9652581
100968158;000005771991;-36.7107218;-72.9655375
100968160;000005771989;-36.7107234;-72.9655928
100968161;000005771988;-36.7107003;-72.965714
100968162;000005771987;-36.7106958;-72.9657095
100968163;000005771986;-36.7139729;-72.9699433
100968164;000005771985;-36.7106674;-72.9658991
100968166;000005771983;-36.7106611;-72.9659489
100968168;000005771981;-36.7105601;-72.9660434
100968169;000005771980;-36.710483;-72.9649276
100968170;000005771979;-36.7104887;-72.9648343
100968171;000005771978;-36.7104962;-72.9648208
100968172;000005771977;-36.7104962;-72.9648212
100968173;000005771976;-36.7104954;-72.9648001
100968179;000005771970;-36.7104325;-72.9644619
100968180;000005771969;-36.710404;-72.9645191
100968182;000005773054;-36.7107197;-72.9643403
100968183;000005773053;-36.7107329;-72.9644072
100968188;000005773048;-36.7108242;-72.9648295
100968189;000005773047;-36.7108054;-72.9648562
100968191;000005773045;-36.7107927;-72.9650271
100968192;000005773044;-36.7108091;-72.9650596
100968193;000005773043;-36.7107104;-72.9653266
100968194;000005771968;-36.7106698;-72.9663462
100968195;000005771967;-36.7105443;-72.9660878
100968197;000005771964;-36.7106591;-72.9659571
100968198;000005771963;-36.7106767;-72.9659865
100968200;000005771961;-36.7107386;-72.9657746
100968203;000005771958;-36.7107704;-72.9656282
100968205;000005773042;-36.7106938;-72.9643636
100968206;000005773041;-36.7107595;-72.9644205
100968207;000005773040;-36.7107577;-72.9644182
100968210;000005771956;-36.7107162;-72.9642063
100968212;000005771954;-36.7110301;-72.9642671
100968213;000005771953;-36.7111007;-72.9642563
100968214;000005771952;-36.7111532;-72.9642254
100968215;000005771951;-36.7111527;-72.9642232
100968216;000005771950;-36.7111334;-72.9642005
100968221;000005771944;-36.7108912;-72.964095
100968224;000005771942;-36.710825;-72.9640594
100968225;000005771941;-36.7107779;-72.9641292
100968229;000005771937;-36.7105772;-72.9642599
100968232;000005771934;-36.7104856;-72.9642649
100968233;000005771933;-36.7104663;-72.9642612
100968235;000005771932;-36.7103315;-72.9640142
100968236;000005771931;-36.7103299;-72.964014
100968237;000005771928;-36.710336;-72.9638877
100968238;000005771924;-36.7102548;-72.9639232
100968245;000005769710;-36.7101323;-72.967843
100968247;000005769713;-36.7101069;-72.9676694
G554476;000002517624;-36.6735484;-72.9656694
G45107135;000005533449;-36.7264033;-72.9770907
100781246;000005620363;-36.666005;-72.9614524
G554459;000005182209;-36.6733956;-72.9638499
100975039;000005776287;-36.6647559;-72.9615253
100197008;000005105120;-36.6731356;-72.9634597
100855221;000005692172;-36.7463908;-72.9917687
100761055;000005570272;-36.7453852;-72.9912135
100951063;000005712634;-36.6665195;-72.9591216
100346910;000005300993;-36.7169808;-72.9722858
100939605;000005755277;-36.6730017;-72.9677685
100628378;000005492991;-36.7204683;-72.9756942
100604358;000005481260;-36.7129028;-72.9704761
103058294;000006599362;-36.6638904;-72.9594822
101144142;000005824182;-36.665002;-72.9589454
101185027;000005852270;-36.6637165;-72.9584264
100160248;000005141094;-36.7120411;-72.9658301
100160250;000005140070;-36.712038;-72.9658174
100160251;000005140066;-36.7121632;-72.9661342
100160252;000005140064;-36.7121626;-72.9661415
100160254;000005138001;-36.7112364;-72.9661438
100160255;000005138004;-36.711768;-72.9654945
100160256;000005138006;-36.7115504;-72.9655223
100160260;000005138014;-36.711465;-72.9655509
100160261;000005138016;-36.7114118;-72.9656152
100160265;000005143024;-36.7117575;-72.9655159
100160267;000005143029;-36.7119608;-72.9658108
100160268;000005143030;-36.7115502;-72.9655242
100161082;000005139459;-36.7112881;-72.9661825
100161083;000005142042;-36.7112786;-72.9663352
100161084;000005142045;-36.711304;-72.9666055
100161085;000005142049;-36.7113584;-72.9665667
100161086;000005142054;-36.7112824;-72.966234
100161087;000005142057;-36.7112793;-72.9662126
100161088;000005142061;-36.7112654;-72.9664307
100165161;000005136927;-36.7117705;-72.9661398
100165162;000005137950;-36.712086;-72.9660728
100165164;000005137961;-36.7113592;-72.9668776
100165167;000005136930;-36.7118335;-72.9662652
100165170;000005137974;-36.7113553;-72.9668948
100165171;000005136933;-36.7118299;-72.96619
100165177;000005136943;-36.7118593;-72.9663953
100165178;000005136944;-36.7118253;-72.9663305
100165181;000005139748;-36.7117779;-72.9651367
100165185;000005139733;-36.7119713;-72.9649559
100165186;000005139741;-36.7119814;-72.9649813
100165187;000005136953;-36.7118967;-72.9665479
100165189;000005139746;-36.7118185;-72.9651376
100165190;000005136956;-36.7112553;-72.9661862
100166165;000005142165;-36.7118751;-72.9651228
100166166;000005142161;-36.7116722;-72.9651429
100166168;000005142172;-36.7117703;-72.9651187
100167145;000005141091;-36.7120785;-72.9659872
100167146;000005142044;-36.7113293;-72.9665466
100167148;000005142047;-36.7112832;-72.9663705
100167150;000005140067;-36.7121642;-72.9661457
100167151;000005140063;-36.7121669;-72.9661524
100167152;000005142056;-36.7112819;-72.9663617
100167153;000005142059;-36.7112739;-72.9662137
100167157;000005142070;-36.7121701;-72.9661589
100167158;000005142073;-36.7120332;-72.9658116
100167159;000005142076;-36.7112354;-72.9662097
100167160;000005142077;-36.7113051;-72.9663818
100167162;000005142082;-36.7112712;-72.966171
G45103198;000005249415;-36.7171755;-72.9700861
100331198;000005257539;-36.666165;-72.9582442
100466217;000005364471;-36.7141807;-72.970974
G554439;000005369126;-36.6732106;-72.9617697
100604501;000005477714;-36.6650437;-72.9579778
100604503;000005475325;-36.6646059;-72.9585633
100613058;000005482566;-36.7472164;-72.9929746
100691500;000005533404;-36.6650052;-72.9600243
100704330;000005545399;-36.665304;-72.9592222
100753359;000005608366;-36.6662976;-72.9589509
100772267;000005626196;-36.6647281;-72.9615323
100803827;000005641004;-36.6649117;-72.9608485
100835855;000005667029;-36.6661337;-72.9594195
G45103210;000005719280;-36.7180412;-72.9710275
100972386;000005771994;-36.7107419;-72.9653834
100982317;000005790842;-36.7472134;-72.9929577
100160274;000005142179;-36.7116013;-72.9651291
100160276;000005142186;-36.7114196;-72.9652091
100160277;000005139731;-36.7113277;-72.9669778
100160280;000005139833;-36.7112674;-72.9652678
100160282;000005139835;-36.7112641;-72.9652734
100160283;000005139839;-36.7111089;-72.9655562
100160284;000005139840;-36.7111922;-72.9656206
100160286;000005139849;-36.7112636;-72.9652765
100160287;000005139850;-36.7112619;-72.9652791
100160288;000005139829;-36.711972;-72.9649881
100161068;000005136892;-36.7117527;-72.9659407
100161069;000005136895;-36.7116892;-72.9659788
